experiment_id,timestamp,split,seed,mode,initial_loss,final_loss,steps_to_threshold,converged,diverged,wall_clock_s,delta_w_norm,model.depth,model.width,model.n_params,model.flops,model.activation,model.normalization,model.residual_connection_ratio,model.attention_structure,model.required_memory_bytes,model.init_method,model.weight_norm_mean,model.weight_norm_std,task.function,task.seed,task.input_dim,task.noise_level,task.n_samples,task.target_variance,task.target_entropy_estimate,task.feature_correlation_mean,task.redundancy,task.class_imbalance,task.distribution,hardware.device_type,hardware.device_name,hardware.device_count,hardware.memory_bytes,hardware.precision,hardware.interconnect,regime.regime_model_size,regime.regime_data_noise,regime.regime_data_volume,regime.regime_device,regime.regime_label,training.learning_rate,training.batch_size,training.optimizer,training.weight_decay,training.init_method,zero_cost.synflow,zero_cost.snip,zero_cost.grasp,zero_cost.jacob_cov,zero_cost.effective_rank,zero_cost.hessian_trace,zero_cost.jacobian_condition_mean,zero_cost.jacobian_condition_median,zero_cost.jacobian_sigma_max_mean,zero_cost.gradient_norm,zero_cost.gradient_norm_variance,zero_cost.activation_mean,zero_cost.activation_variance
1,2026-09-01 13:43:23,test,100,full_training,1.1182656288146973,0.045398544520139694,11.0,1,0,0.014334597974084318,2.8361449241638184,2,32,1217,2304,relu,none,0.0,none,19472,xavier,3.998493274052938,2.7725577354431152,linear,100,3,0.138,384,1.8253250122070312,1.7198175632342114,0.0838538278245174,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,medium,cpu,small_model__moderate_data__medium_volume,0.02,32,adam,1e-05,xavier,85.53611755371094,8.069149017333984,-24.087940216064453,39.20600128173828,12.116669654846191,30.74699878692627,2.414494037628174,2.296313762664795,1.268123984336853,2.6606192588806152,47.589229583740234,0.15381493419408798,0.06664725951850414
2,2026-09-01 13:43:23,test,100,full_training,0.8947207927703857,0.02396816574037075,19.0,1,0,0.019847770017804578,2.661813974380493,2,32,1217,2304,relu,none,0.0,none,19472,he,5.3281480471293134,2.563436269760132,linear,100,3,0.138,384,1.8253250122070312,1.7198175632342114,0.0838538278245174,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,medium,cpu,small_model__moderate_data__medium_volume,0.02,32,adam,1e-05,he,247.24282836914062,21.71025848388672,-96.4232177734375,39.20600128173828,12.11667251586914,142.50017642974854,2.414494037628174,2.2963130474090576,3.0628104209899902,5.222677230834961,217.70761108398438,0.37149839103221893,0.3887757360935211
3,2026-09-01 13:43:23,test,100,full_training,1.3256791830062866,0.025995444506406784,21.0,1,0,0.018924262025393546,4.323987007141113,2,32,1217,2304,relu,none,0.0,none,19472,orthogonal,3.8164965311686196,3.016789674758911,linear,100,3,0.138,384,1.8253250122070312,1.7198175632342114,0.0838538278245174,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,medium,cpu,small_model__moderate_data__medium_volume,0.02,32,adam,1e-05,orthogonal,53.49358367919922,7.0512285232543945,-13.274039268493652,34.255550384521484,12.414780616760254,26.475765037536622,1.7520102262496948,1.7029095888137817,1.1636850833892822,2.22941517829895,26.9364070892334,0.1604592129588127,0.062251897528767586
4,2026-09-01 13:43:23,train,101,full_training,3.092975616455078,0.04932062327861786,296.0,1,0,0.3406314059975557,7.574869155883789,2,32,1377,2624,relu,none,0.0,none,22032,xavier,4.944721817970276,2.613090753555298,nonlinear_interaction,101,8,0.254,512,2.014313220977783,1.769077685224744,0.037587676905909494,0.0,,gaussian,cpu,cpu,8,,float32,none,small,noisy,medium,cpu,small_model__noisy_data__medium_volume,0.02,32,adam,1e-05,xavier,284.1978759765625,14.8740816116333,-139.43145751953125,111.06016540527344,18.1727352142334,61.93371429443359,16.32325553894043,13.190235137939453,2.46403169631958,4.381718635559082,93.44190979003906,0.31602372229099274,0.2813496068120003
5,2026-09-01 13:43:23,train,101,full_training,5.15520715713501,0.049931563436985016,183.0,1,0,0.21898738201707602,6.116885185241699,2,32,1377,2624,relu,none,0.0,none,22032,he,6.131039500236511,3.138056993484497,nonlinear_interaction,101,8,0.254,512,2.014313220977783,1.769077685224744,0.037587676905909494,0.0,,gaussian,cpu,cpu,8,,float32,none,small,noisy,medium,cpu,small_model__noisy_data__medium_volume,0.02,32,adam,1e-05,he,537.7823486328125,43.9675407409668,-1115.41015625,111.06016540527344,18.17274284362793,149.78344268798827,16.32325553894043,13.190239906311035,3.8959765434265137,11.212008476257324,764.76708984375,0.4996773600578308,0.7033740282058716
6,2026-09-01 13:43:24,train,101,full_training,2.41902494430542,0.04706865921616554,225.0,1,0,0.29173645499395207,7.544797420501709,2,32,1377,2624,relu,none,0.0,none,22032,orthogonal,4.333333333333333,2.8674416542053223,nonlinear_interaction,101,8,0.254,512,2.014313220977783,1.769077685224744,0.037587676905909494,0.0,,gaussian,cpu,cpu,8,,float32,none,small,noisy,medium,cpu,small_model__noisy_data__medium_volume,0.02,32,adam,1e-05,orthogonal,140.87918090820312,7.01792573928833,-39.411956787109375,119.68306732177734,19.25221061706543,61.713539123535156,6.6328043937683105,4.715435981750488,1.5321621894836426,2.645220994949341,45.935787200927734,0.27774403989315033,0.18466413021087646
7,2026-09-01 13:43:24,train,102,full_training,10.388945579528809,0.04473194107413292,419.0,1,0,0.6753368750214577,10.815069198608398,2,32,1249,2368,relu,none,0.0,none,19984,xavier,4.106595436731975,2.8521344661712646,nonlinear_product,102,4,0.203,512,8.67843246459961,2.4993589935684906,0.019102676933188813,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,medium,cpu,small_model__moderate_data__medium_volume,0.02,32,adam,1e-05,xavier,88.71050262451172,24.36697006225586,-485.8630676269531,87.03591918945312,14.316981315612793,9.663981437683105,3.319448471069336,3.113994598388672,1.612739086151123,11.062403678894043,98.37551879882812,0.20914451777935028,0.12564438581466675
8,2026-09-01 13:43:25,train,102,full_training,13.699686050415039,0.049492351710796356,465.0,1,0,0.5439580040110741,9.858505249023438,2,32,1249,2368,relu,none,0.0,none,19984,he,5.400059739748637,2.908212184906006,nonlinear_product,102,4,0.203,512,8.67843246459961,2.4993589935684906,0.019102676933188813,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,medium,cpu,small_model__moderate_data__medium_volume,0.02,32,adam,1e-05,he,225.21484375,76.1374740600586,-3744.8837890625,87.03591918945312,14.316981315612793,92.06339111328126,3.319448471069336,3.1139941215515137,3.4211361408233643,25.55948829650879,682.7422485351562,0.44366252422332764,0.565399706363678
9,2026-09-01 13:43:25,train,102,full_training,9.665803909301758,0.04132769629359245,266.0,1,0,0.2743253240187187,10.364007949829102,2,32,1249,2368,relu,none,0.0,none,19984,orthogonal,3.9428090254465737,2.9643869400024414,nonlinear_product,102,4,0.203,512,8.67843246459961,2.4993589935684906,0.019102676933188813,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,medium,cpu,small_model__moderate_data__medium_volume,0.02,32,adam,1e-05,orthogonal,68.3827133178711,18.35737419128418,-290.4862976074219,81.26355743408203,15.580216407775879,-24.914727020263673,2.0833377838134766,2.0384793281555176,1.2320257425308228,9.19994068145752,54.03138732910156,0.1920376420021057,0.09819643199443817
10,2026-09-01 13:43:25,train,103,full_training,2.6192755699157715,0.04570798948407173,66.0,1,0,0.061075773992342874,5.165410995483398,2,32,1281,2432,relu,none,0.0,none,20496,xavier,4.337605396906535,2.741262674331665,linear,103,5,0.28,384,1.973253607749939,1.7587804121714583,0.04103959488929174,0.0,,gaussian,cpu,cpu,8,,float32,none,small,noisy,medium,cpu,small_model__noisy_data__medium_volume,0.02,32,adam,1e-05,xavier,116.72314453125,12.304842948913574,-82.7269058227539,106.70223999023438,17.013973236083984,53.76186046600342,3.946666717529297,3.671172857284546,1.7146878242492676,3.6366193294525146,114.12537384033203,0.2409358024597168,0.16195622086524963
11,2026-09-01 13:43:25,train,103,full_training,4.467731952667236,0.034553445875644684,91.0,1,0,0.08530625601997599,5.098618984222412,2,32,1281,2432,relu,none,0.0,none,20496,he,5.668473839759827,3.066263437271118,linear,103,5,0.28,384,1.973253607749939,1.7587804121714583,0.04103959488929174,0.0,,gaussian,cpu,cpu,8,,float32,none,small,noisy,medium,cpu,small_model__noisy_data__medium_volume,0.02,32,adam,1e-05,he,268.70367431640625,42.09651184082031,-909.112548828125,106.70223999023438,17.013973236083984,191.41955776214598,3.9466664791107178,3.6711740493774414,3.2982676029205322,10.690446853637695,748.8756713867188,0.46344923973083496,0.5992380678653717
12,2026-09-01 13:43:26,train,103,full_training,2.0194461345672607,0.04229685291647911,87.0,1,0,0.08221100602531806,5.113454341888428,2,32,1281,2432,relu,none,0.0,none,20496,orthogonal,4.054092566172282,2.926488161087036,linear,103,5,0.28,384,1.973253607749939,1.7587804121714583,0.04103959488929174,0.0,,gaussian,cpu,cpu,8,,float32,none,small,noisy,medium,cpu,small_model__noisy_data__medium_volume,0.02,32,adam,1e-05,orthogonal,84.57994079589844,6.802789211273193,-25.941925048828125,101.67530822753906,16.841360092163086,39.84441089630127,2.81847882270813,2.632075309753418,1.3166074752807617,2.3934147357940674,39.99018096923828,0.1987714022397995,0.1040346585214138
13,2026-09-01 13:43:26,train,104,full_training,2.813325881958008,0.04637614265084267,242.0,1,0,0.2211093360092491,7.227826118469238,2,32,1249,2368,relu,none,0.0,none,19984,xavier,4.106595436731975,2.8521344661712646,nonlinear_interaction,104,4,0.262,384,2.19335675239563,1.8116551002027421,0.038244502049663114,0.0,,gaussian,cpu,cpu,8,,float32,none,small,noisy,medium,cpu,small_model__noisy_data__medium_volume,0.02,32,adam,1e-05,xavier,88.71050262451172,9.629340171813965,-59.787261962890625,81.59139251708984,14.289291381835938,19.034610652923583,3.196363925933838,2.951655387878418,1.6153953075408936,3.8097381591796875,46.339324951171875,0.19839444011449814,0.10422427952289581
14,2026-09-01 13:43:26,train,104,full_training,4.872447490692139,0.03594263270497322,246.0,1,0,0.22592638901551254,6.946784973144531,2,32,1249,2368,relu,none,0.0,none,19984,he,5.400059739748637,2.908212184906006,nonlinear_interaction,104,4,0.262,384,2.19335675239563,1.8116551002027421,0.038244502049663114,0.0,,gaussian,cpu,cpu,8,,float32,none,small,noisy,medium,cpu,small_model__noisy_data__medium_volume,0.02,32,adam,1e-05,he,225.21484375,31.267789840698242,-592.40234375,81.59139251708984,14.289291381835938,79.94115104675294,3.196363925933838,2.9516546726226807,3.4267709255218506,9.473196983337402,323.5188293457031,0.42085811495780945,0.4690092206001282
15,2026-09-01 13:43:26,train,104,full_training,2.9079034328460693,0.04147414118051529,242.0,1,0,0.21839124299003743,7.275291442871094,2,32,1249,2368,relu,none,0.0,none,19984,orthogonal,3.9428090254465737,2.9643869400024414,nonlinear_interaction,104,4,0.262,384,2.19335675239563,1.8116551002027421,0.038244502049663114,0.0,,gaussian,cpu,cpu,8,,float32,none,small,noisy,medium,cpu,small_model__noisy_data__medium_volume,0.02,32,adam,1e-05,orthogonal,68.3827133178711,8.56087875366211,-48.29246520996094,88.86665344238281,15.744136810302734,16.539187049865724,1.998270869255066,1.9302829504013062,1.2693589925765991,3.4939236640930176,25.481245040893555,0.182563878595829,0.07574538141489029
16,2026-09-01 13:43:27,train,105,full_training,8.349503517150879,0.049409665167331696,119.0,1,0,0.1385038589942269,6.884422302246094,2,32,1345,2560,relu,none,0.0,none,21520,xavier,4.824894110361735,2.6007485389709473,nonlinear_product,105,7,0.105,256,3.5741796493530273,2.0558063737554515,0.047285493587231726,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,low,cpu,small_model__moderate_data__low_volume,0.02,32,adam,1e-05,xavier,222.52198791503906,56.25055694580078,-1871.6800537109375,104.45462036132812,17.71190071105957,147.57604484558107,6.8888936042785645,5.870559215545654,2.222818374633789,16.88570785522461,335.9065856933594,0.341405987739563,0.2938843369483948
17,2026-09-01 13:43:27,train,105,full_training,13.98237419128418,0.039262428879737854,124.0,1,0,0.11641172101371922,6.251845836639404,2,32,1345,2560,relu,none,0.0,none,21520,he,6.084149400393168,3.0874176025390625,nonlinear_product,105,7,0.105,256,3.5741796493530273,2.0558063737554515,0.047285493587231726,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,low,cpu,small_model__moderate_data__low_volume,0.02,32,adam,1e-05,he,444.48486328125,170.6617431640625,-14971.228515625,104.45462036132812,17.71190071105957,413.97232751846315,6.88889217376709,5.8705596923828125,3.7099862098693848,43.44460678100586,1955.72509765625,0.5698222815990448,0.8186778426170349
18,2026-09-01 13:43:27,train,105,full_training,6.350377082824707,0.049636028707027435,155.0,1,0,0.15144280801177956,8.131885528564453,2,32,1345,2560,relu,none,0.0,none,21520,orthogonal,4.247219244639079,2.8800108432769775,nonlinear_product,105,7,0.105,256,3.5741796493530273,2.0558063737554515,0.047285493587231726,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,low,cpu,small_model__moderate_data__low_volume,0.02,32,adam,1e-05,orthogonal,111.43936157226562,23.838645935058594,-524.25634765625,116.0270004272461,18.614194869995117,110.03518002033233,4.012962341308594,3.798285961151123,1.5874305963516235,9.974251747131348,157.81314086914062,0.28106188774108887,0.1689993143081665
19,2026-09-01 13:43:27,train,106,full_training,2.995710611343384,0.031600095331668854,31.0,1,0,0.03536494402214885,4.941559314727783,2,32,1281,2432,relu,none,0.0,none,20496,xavier,4.337605396906535,2.741262674331665,linear,106,5,0.005,768,1.939387321472168,1.7501245879654008,0.019026749193931287,0.0,,gaussian,cpu,cpu,8,,float32,none,small,clean,high,cpu,small_model__clean_data__high_volume,0.02,32,adam,1e-05,xavier,116.72314453125,15.854774475097656,-145.38641357421875,93.28453063964844,15.775349617004395,71.49560050964355,3.8781301975250244,3.643312454223633,1.7699217796325684,5.053654193878174,112.28617095947266,0.24886100739240646,0.17749223113059998
20,2026-09-01 13:43:27,train,106,full_training,4.880295276641846,0.04555011913180351,35.0,1,0,0.034835261991247535,4.8269782066345215,2,32,1281,2432,relu,none,0.0,none,20496,he,5.668473839759827,3.066263437271118,linear,106,5,0.005,768,1.939387321472168,1.7501245879654008,0.019026749193931287,0.0,,gaussian,cpu,cpu,8,,float32,none,small,clean,high,cpu,small_model__clean_data__high_volume,0.02,32,adam,1e-05,he,268.70367431640625,51.0832633972168,-1347.8380126953125,93.28453063964844,15.775346755981445,233.94864444732667,3.8781309127807617,3.643310785293579,3.404512405395508,13.697664260864258,554.6868896484375,0.4786937087774277,0.656721293926239
21,2026-09-01 13:43:27,train,106,full_training,2.56404972076416,0.0360761322081089,22.0,1,0,0.021657047007465735,4.515944957733154,2,32,1281,2432,relu,none,0.0,none,20496,orthogonal,4.054092566172282,2.926488161087036,linear,106,5,0.005,768,1.939387321472168,1.7501245879654008,0.019026749193931287,0.0,,gaussian,cpu,cpu,8,,float32,none,small,clean,high,cpu,small_model__clean_data__high_volume,0.02,32,adam,1e-05,orthogonal,84.57994079589844,7.3660478591918945,-32.912696838378906,94.01850128173828,16.405254364013672,43.350302124023436,2.735748291015625,2.524547576904297,1.3265440464019775,2.750753402709961,46.9205207824707,0.1967955008149147,0.1050468161702156
22,2026-09-01 13:43:27,test,107,full_training,2.0556106567382812,0.037232905626297,202.0,1,0,0.21747071799472906,6.742597579956055,2,32,1281,2432,relu,none,0.0,none,20496,xavier,4.337605396906535,2.741262674331665,nonlinear_interaction,107,5,0.186,768,1.8620647192001343,1.729781501277494,0.027911563527203715,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,high,cpu,small_model__moderate_data__high_volume,0.02,32,adam,1e-05,xavier,116.72314453125,7.601405620574951,-16.675783157348633,95.91124725341797,17.203216552734375,62.69927978515625,4.0909342765808105,3.6403539180755615,1.7108817100524902,2.182114601135254,163.16635131835938,0.23817768692970276,0.16618315130472183
23,2026-09-01 13:43:28,test,107,full_training,3.3407974243164062,0.04499698430299759,241.0,1,0,0.2703905329981353,6.47808837890625,2,32,1281,2432,relu,none,0.0,none,20496,he,5.668473839759827,3.066263437271118,nonlinear_interaction,107,5,0.186,768,1.8620647192001343,1.729781501277494,0.027911563527203715,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,high,cpu,small_model__moderate_data__high_volume,0.02,32,adam,1e-05,he,268.70367431640625,24.998188018798828,-345.6073303222656,95.91124725341797,17.20322036743164,193.69727096557617,4.090935230255127,3.6403534412384033,3.2909467220306396,5.945541858673096,457.2392272949219,0.4581439644098282,0.6148777008056641
24,2026-09-01 13:43:28,test,107,full_training,1.9819952249526978,0.04912274330854416,190.0,1,0,0.2611304040183313,6.956507682800293,2,32,1281,2432,relu,none,0.0,none,20496,orthogonal,4.054092566172282,2.926488161087036,nonlinear_interaction,107,5,0.186,768,1.8620647192001343,1.729781501277494,0.027911563527203715,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,high,cpu,small_model__moderate_data__high_volume,0.02,32,adam,1e-05,orthogonal,84.57994079589844,6.111548900604248,-10.271669387817383,95.1545181274414,16.805805206298828,33.468058013916014,2.897587776184082,2.681488513946533,1.3022468090057373,2.1975009441375732,189.51675415039062,0.19888588786125183,0.10972510278224945
25,2026-09-01 13:43:28,train,108,full_training,11.182198524475098,0.04721515625715256,79.0,1,0,0.08806925901444629,6.9730000495910645,2,32,1249,2368,relu,none,0.0,none,19984,xavier,4.106595436731975,2.8521344661712646,nonlinear_product,108,4,0.215,256,4.140458106994629,2.129341750994159,0.043906223054964756,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,low,cpu,small_model__moderate_data__low_volume,0.02,32,adam,1e-05,xavier,88.71050262451172,18.747249603271484,-222.7271728515625,65.64082336425781,13.795726776123047,27.77402267456055,3.392601490020752,3.1497278213500977,1.5852543115615845,7.803291320800781,271.9421691894531,0.221949502825737,0.13715901970863342
26,2026-09-01 13:43:28,train,108,full_training,13.74420166015625,0.038953207433223724,199.0,1,0,0.1995034459978342,6.948189735412598,2,32,1249,2368,relu,none,0.0,none,19984,he,5.400059739748637,2.908212184906006,nonlinear_product,108,4,0.215,256,4.140458106994629,2.129341750994159,0.043906223054964756,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,low,cpu,small_model__moderate_data__low_volume,0.02,32,adam,1e-05,he,225.21484375,54.58314514160156,-1551.6669921875,65.64082336425781,13.795730590820312,113.5107292175293,3.392601490020752,3.149728298187256,3.3628320693969727,17.02972412109375,1427.6395263671875,0.47082602977752686,0.6172155439853668
27,2026-09-01 13:43:29,train,108,full_training,10.453351974487305,0.04697395861148834,133.0,1,0,0.14661727400380187,7.04710054397583,2,32,1249,2368,relu,none,0.0,none,19984,orthogonal,3.9428090254465737,2.9643869400024414,nonlinear_product,108,4,0.215,256,4.140458106994629,2.129341750994159,0.043906223054964756,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,low,cpu,small_model__moderate_data__low_volume,0.02,32,adam,1e-05,orthogonal,68.3827133178711,15.933881759643555,-153.2243194580078,73.09654998779297,15.560545921325684,17.80646686553955,2.0800156593322754,2.0189435482025146,1.2437644004821777,6.785016059875488,155.9210205078125,0.20144344121217728,0.10038270428776741
28,2026-09-01 13:43:29,train,109,full_training,1.8400548696517944,0.026968657970428467,21.0,1,0,0.0328947440139018,3.644418239593506,2,32,1249,2368,relu,none,0.0,none,19984,xavier,4.106595436731975,2.8521344661712646,linear,109,4,0.069,768,2.0546772480010986,1.7789979225445198,0.055641171699510626,0.0,,gaussian,cpu,cpu,8,,float32,none,small,clean,high,cpu,small_model__clean_data__high_volume,0.02,32,adam,1e-05,xavier,88.71050262451172,8.359731674194336,-10.09876537322998,82.647705078125,14.084035873413086,28.77843770980835,3.103206157684326,3.0386509895324707,1.6541993618011475,2.5213358402252197,30.937362670898438,0.19676527380943298,0.10142188519239426
29,2026-09-01 13:43:29,train,109,full_training,1.153355360031128,0.04344968870282173,19.0,1,0,0.02099546298268251,3.385000228881836,2,32,1249,2368,relu,none,0.0,none,19984,he,5.400059739748637,2.908212184906006,linear,109,4,0.069,768,2.0546772480010986,1.7789979225445198,0.055641171699510626,0.0,,gaussian,cpu,cpu,8,,float32,none,small,clean,high,cpu,small_model__clean_data__high_volume,0.02,32,adam,1e-05,he,225.21484375,21.08315658569336,-299.2218017578125,82.647705078125,14.08403205871582,71.54201965332031,3.103206157684326,3.03865122795105,3.5090866088867188,5.282002925872803,124.99170684814453,0.4174021780490875,0.45639844238758087
30,2026-09-01 13:43:29,train,109,full_training,2.4512946605682373,0.03271672874689102,12.0,1,0,0.014869997015921399,3.1347434520721436,2,32,1249,2368,relu,none,0.0,none,19984,orthogonal,3.9428090254465737,2.9643869400024414,linear,109,4,0.069,768,2.0546772480010986,1.7789979225445198,0.055641171699510626,0.0,,gaussian,cpu,cpu,8,,float32,none,small,clean,high,cpu,small_model__clean_data__high_volume,0.02,32,adam,1e-05,orthogonal,68.3827133178711,8.374019622802734,-22.9604434967041,81.88449096679688,14.944186210632324,29.54349250793457,2.0007362365722656,1.9378281831741333,1.2769869565963745,2.7740347385406494,31.018085479736328,0.18379561603069305,0.08098755404353142
31,2026-09-01 13:43:29,train,110,full_training,4.875819206237793,0.04702383652329445,178.0,1,0,0.25356550997821614,6.780107498168945,2,32,1345,2560,relu,none,0.0,none,21520,xavier,4.824894110361735,2.6007485389709473,nonlinear_interaction,110,7,0.238,384,2.088444709777832,1.7871483486810107,0.040394922761488664,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,medium,cpu,small_model__moderate_data__medium_volume,0.02,32,adam,1e-05,xavier,222.52198791503906,44.08625030517578,-1084.8946533203125,108.30339050292969,17.644203186035156,115.14673385620117,9.245542526245117,5.890889644622803,2.192233085632324,12.591675758361816,232.5040740966797,0.33579325675964355,0.3025123327970505
32,2026-09-01 13:43:29,train,110,full_training,8.846355438232422,0.04574880003929138,174.0,1,0,0.2502623969921842,6.186689376831055,2,32,1345,2560,relu,none,0.0,none,21520,he,6.084149400393168,3.0874176025390625,nonlinear_interaction,110,7,0.238,384,2.088444709777832,1.7871483486810107,0.040394922761488664,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,medium,cpu,small_model__moderate_data__medium_volume,0.02,32,adam,1e-05,he,444.48486328125,132.52212524414062,-9125.994140625,108.30339050292969,17.64419937133789,371.6150238037109,9.245542526245117,5.890885829925537,3.658937931060791,33.61198806762695,2169.376220703125,0.5604544281959534,0.842712938785553
33,2026-09-01 13:43:30,train,110,full_training,3.9599850177764893,0.04694601520895958,163.0,1,0,0.19953038400853984,7.04983377456665,2,32,1345,2560,relu,none,0.0,none,21520,orthogonal,4.247219244639079,2.8800108432769775,nonlinear_interaction,110,7,0.238,384,2.088444709777832,1.7871483486810107,0.040394922761488664,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,medium,cpu,small_model__moderate_data__medium_volume,0.02,32,adam,1e-05,orthogonal,111.43936157226562,18.744150161743164,-322.8736572265625,114.69892120361328,18.207077026367188,78.68859672546387,4.4627861976623535,3.627859115600586,1.5524883270263672,7.534677505493164,103.06726837158203,0.2820983976125717,0.17017976194620132
34,2026-09-01 13:43:30,train,111,full_training,16.25827407836914,0.047930870205163956,381.0,1,0,0.4345248639874626,9.380010604858398,2,32,1249,2368,relu,none,0.0,none,19984,xavier,4.106595436731975,2.8521344661712646,nonlinear_product,111,4,0.276,512,7.017490863800049,2.3931413968728843,0.038348846205094066,0.0,,gaussian,cpu,cpu,8,,float32,none,small,noisy,medium,cpu,small_model__noisy_data__medium_volume,0.02,32,adam,1e-05,xavier,88.71050262451172,21.302127838134766,-285.9043273925781,78.90436553955078,13.950697898864746,31.288067245483397,3.372633934020996,3.414076089859009,1.6364326477050781,9.034186363220215,470.1842956542969,0.2113586813211441,0.12052848190069199
35,2026-09-01 13:43:31,train,111,full_training,19.54424285888672,0.045221976935863495,498.0,1,0,0.7627179090050049,9.154024124145508,2,32,1249,2368,relu,none,0.0,none,19984,he,5.400059739748637,2.908212184906006,nonlinear_product,111,4,0.276,512,7.017490863800049,2.3931413968728843,0.038348846205094066,0.0,,gaussian,cpu,cpu,8,,float32,none,small,noisy,medium,cpu,small_model__noisy_data__medium_volume,0.02,32,adam,1e-05,he,225.21484375,59.650611877441406,-1708.603759765625,78.90436553955078,13.95069408416748,116.34566650390624,3.372634172439575,3.4140753746032715,3.471398115158081,18.79012107849121,2261.63671875,0.4483594447374344,0.5423780977725983
36,2026-09-01 13:43:32,train,111,full_training,15.460895538330078,0.04288085550069809,381.0,1,0,0.5842784190026578,9.938669204711914,2,32,1249,2368,relu,none,0.0,none,19984,orthogonal,3.9428090254465737,2.9643869400024414,nonlinear_product,111,4,0.276,512,7.017490863800049,2.3931413968728843,0.038348846205094066,0.0,,gaussian,cpu,cpu,8,,float32,none,small,noisy,medium,cpu,small_model__noisy_data__medium_volume,0.02,32,adam,1e-05,orthogonal,68.3827133178711,17.51723289489746,-205.32693481445312,92.866455078125,15.249274253845215,2.9415971755981447,2.0589282512664795,1.9347182512283325,1.25357186794281,7.951526641845703,285.3091735839844,0.19174893200397491,0.08994314447045326
37,2026-09-01 13:43:32,train,112,full_training,2.0695807933807373,0.047665830701589584,51.0,1,0,0.05423397399135865,5.105696678161621,2,32,1281,2432,relu,none,0.0,none,20496,xavier,4.337605396906535,2.741262674331665,linear,112,5,0.25,512,1.9897546768188477,1.7629442097829566,0.04638826118457402,0.0,,gaussian,cpu,cpu,8,,float32,none,small,noisy,medium,cpu,small_model__noisy_data__medium_volume,0.02,32,adam,1e-05,xavier,116.72314453125,11.78879451751709,-83.68099212646484,90.76823425292969,16.550399780273438,56.56692366600036,4.006834030151367,3.7387404441833496,1.7475321292877197,3.4597725868225098,70.32293701171875,0.22984695434570312,0.15169258415699005
38,2026-09-01 13:43:32,train,112,full_training,3.8559131622314453,0.0485767126083374,49.0,1,0,0.045289506000699475,5.013282775878906,2,32,1281,2432,relu,none,0.0,none,20496,he,5.668473839759827,3.066263437271118,linear,112,5,0.25,512,1.9897546768188477,1.7629442097829566,0.04638826118457402,0.0,,gaussian,cpu,cpu,8,,float32,none,small,noisy,medium,cpu,small_model__noisy_data__medium_volume,0.02,32,adam,1e-05,he,268.70367431640625,43.18779373168945,-1145.120361328125,90.76823425292969,16.550399780273438,177.05351371765136,4.006833553314209,3.738740921020508,3.3614449501037598,11.45766830444336,632.2221069335938,0.44211944937705994,0.5612626075744629
39,2026-09-01 13:43:32,train,112,full_training,1.833909511566162,0.045019835233688354,39.0,1,0,0.03727736001019366,4.86578369140625,2,32,1281,2432,relu,none,0.0,none,20496,orthogonal,4.054092566172282,2.926488161087036,linear,112,5,0.25,512,1.9897546768188477,1.7629442097829566,0.04638826118457402,0.0,,gaussian,cpu,cpu,8,,float32,none,small,noisy,medium,cpu,small_model__noisy_data__medium_volume,0.02,32,adam,1e-05,orthogonal,84.57994079589844,6.3658599853515625,-21.84150505065918,103.39728546142578,17.01824951171875,37.993173599243164,3.0105185508728027,2.74729585647583,1.3439067602157593,2.2994282245635986,38.85519790649414,0.18591775000095367,0.09529944136738777
40,2026-09-01 13:43:32,train,113,full_training,3.3131496906280518,0.04964395612478256,157.0,1,0,0.15497180697275326,6.721983432769775,2,32,1249,2368,relu,none,0.0,none,19984,xavier,4.106595436731975,2.8521344661712646,nonlinear_interaction,113,4,0.196,512,2.21958589553833,1.8175988556763478,0.039080806585754996,0.0,,gaussian,cpu,cpu,8,,float32,none,small,moderate,medium,cpu,small_model__moderate_data__medium_volume,0.02,32,adam,1e-05,xavier,88.71050262451172,13.237300872802734,-112.45169067382812,73.53961944580078,13.326103210449219,36.85682716369629,3.372739315032959,3.2089712619781494,1.6730587482452393,4.887053489685059,684.625244140625,0.22038161009550095,0.13886557519435883
